20
Edges		Cost	Color
0	1	20	2
0	4	5	1
0	5	29	2
0	6	28	1
0	9	24	2
0	14	29	1
0	18	11	1
1	0	20	2
1	3	18	2
1	5	15	0
1	8	18	2
1	9	21	0
1	11	24	2
1	14	12	1
1	16	17	2
2	3	19	2
2	4	22	0
2	5	20	0
2	7	24	0
2	8	26	2
2	9	27	1
2	10	9	2
2	11	5	0
2	13	17	2
2	14	14	0
2	18	4	1
2	19	20	0
3	1	18	2
3	2	19	2
3	4	13	0
3	5	19	2
3	7	17	1
3	9	4	2
3	10	16	0
3	11	15	0
3	13	23	2
3	17	27	0
3	18	9	0
3	19	16	1
4	0	5	1
4	2	22	0
4	3	13	0
4	6	18	2
4	7	16	0
4	11	1	0
4	12	15	2
4	14	4	2
4	18	24	2
5	0	29	2
5	1	15	0
5	2	20	0
5	3	19	2
5	7	26	2
5	8	20	2
5	10	21	2
5	11	22	0
5	12	15	0
5	14	16	2
5	16	28	0
5	17	22	1
5	18	20	1
5	19	14	0
6	0	28	1
6	4	18	2
6	7	23	1
6	9	0	2
6	10	24	0
6	11	23	2
6	13	25	0
6	14	26	1
6	15	29	2
6	16	10	2
6	18	24	2
7	2	24	0
7	3	17	1
7	4	16	0
7	5	26	2
7	6	23	1
7	8	8	0
7	9	25	1
7	10	3	0
7	12	27	1
7	13	20	0
7	15	16	0
7	18	1	2
7	19	19	0
8	1	18	2
8	2	26	2
8	5	20	2
8	7	8	0
8	13	18	1
8	14	6	0
9	0	24	2
9	1	21	0
9	2	27	1
9	3	4	2
9	6	0	2
9	7	25	1
9	12	23	2
9	15	12	0
9	16	21	1
9	19	2	0
10	2	9	2
10	3	16	0
10	5	21	2
10	6	24	0
10	7	3	0
10	15	20	1
10	17	16	0
10	18	24	2
11	1	24	2
11	2	5	0
11	3	15	0
11	4	1	0
11	5	22	0
11	6	23	2
11	14	28	0
11	16	0	2
12	4	15	2
12	5	15	0
12	7	27	1
12	9	23	2
12	16	7	2
12	17	2	0
12	19	26	2
13	2	17	2
13	3	23	2
13	6	25	0
13	7	20	0
13	8	18	1
13	14	1	2
13	15	24	2
13	19	8	0
14	0	29	1
14	1	12	1
14	2	14	0
14	4	4	2
14	5	16	2
14	6	26	1
14	8	6	0
14	11	28	0
14	13	1	2
14	16	26	2
15	6	29	2
15	7	16	0
15	9	12	0
15	10	20	1
15	13	24	2
15	17	16	1
15	19	23	1
16	1	17	2
16	5	28	0
16	6	10	2
16	9	21	1
16	11	0	2
16	12	7	2
16	14	26	2
16	18	7	1
16	19	19	2
17	3	27	0
17	5	22	1
17	10	16	0
17	12	2	0
17	15	16	1
17	18	8	0
17	19	12	2
18	0	11	1
18	2	4	1
18	3	9	0
18	4	24	2
18	5	20	1
18	6	24	2
18	7	1	2
18	10	24	2
18	16	7	1
18	17	8	0
19	2	20	0
19	3	16	1
19	5	14	0
19	7	19	0
19	9	2	0
19	12	26	2
19	13	8	0
19	15	23	1
19	16	19	2
19	17	12	2
